time,U,C
46.968,0.7954377856970238,0.6761221178424702
46.969,0.7954382418956438,0.6761225056112973
46.97,0.7954386980486463,0.6761228933413493
46.971000000000004,0.7954391541560356,0.6761232810326302
46.972,0.7954396102178166,0.6761236686851441
46.973,0.7954400662339937,0.6761240562988946
46.974000000000004,0.7954405222045713,0.6761244438738856
46.975,0.7954409781295543,0.6761248314101211
46.976,0.795441434008947,0.6761252189076049
46.977000000000004,0.795441889842754,0.6761256063663409
46.978,0.7954423456309799,0.6761259937863329
46.979,0.7954428013736293,0.6761263811675849
46.980000000000004,0.7954432570707067,0.6761267685101007
46.981,0.7954437127222167,0.6761271558138842
46.982,0.7954441683281638,0.6761275430789392
46.983000000000004,0.7954446238885525,0.6761279303052696
46.984,0.7954450794033876,0.6761283174928795
46.985,0.7954455348726733,0.6761287046417723
46.986000000000004,0.7954459902964145,0.6761290917519523
46.987,0.7954464456746156,0.6761294788234232
46.988,0.7954469010072811,0.676129865856189
46.989000000000004,0.7954473562944157,0.6761302528502533
46.99,0.7954478115360237,0.6761306398056202
46.991,0.79544826673211,0.6761310267222935
46.992000000000004,0.7954487218826789,0.6761314136002771
46.993,0.795449176987735,0.6761318004395748
46.994,0.7954496320472828,0.6761321872401904
46.995,0.795450087061327,0.676132574002128
46.996,0.7954505420298721,0.6761329607253913
46.997,0.7954509969529225,0.6761333474099841
46.998,0.795451451830483,0.6761337340559106
46.999,0.7954519066625579,0.6761341206631742
47.0,0.795452361449152,0.6761345072317791
47.001,0.7954528161902696,0.6761348937617292
47.002,0.7954532708859154,0.6761352802530282
47.003,0.7954537255360941,0.6761356667056799
47.004,0.7954541801408098,0.6761360531196883
47.005,0.7954546347000674,0.6761364394950573
47.006,0.7954550892138713,0.6761368258317906
47.007,0.7954555436822262,0.6761372121298922
47.008,0.7954559981051363,0.6761375983893658
47.009,0.7954564524826065,0.6761379846102156
47.01,0.7954569068146413,0.6761383707924451
47.011,0.7954573611012452,0.6761387569360584
47.012,0.7954578153424227,0.6761391430410593
47.013,0.7954582695381782,0.6761395291074515
47.014,0.7954587236885164,0.676139915135239
47.015,0.795459177793442,0.6761403011244257
47.016,0.7954596318529593,0.6761406870750154
47.017,0.795460085867073,0.676141072987012
47.018,0.7954605398357875,0.6761414588604193
47.019,0.7954609937591073,0.6761418446952412
47.02,0.7954614476370371,0.6761422304914815
47.021,0.7954619014695814,0.6761426162491442
47.022,0.7954623552567447,0.676143001968233
47.023,0.7954628089985316,0.6761433876487518
47.024,0.7954632626949465,0.6761437732907045
47.025,0.7954637163459941,0.676144158894095
47.026,0.7954641699516788,0.6761445444589269
47.027,0.7954646235120053,0.6761449299852045
47.028,0.7954650770269779,0.6761453154729312
47.029,0.7954655304966014,0.6761457009221111
47.03,0.7954659839208801,0.6761460863327481
47.031,0.7954664372998187,0.6761464717048459
47.032000000000004,0.7954668906334217,0.6761468570384084
47.033,0.7954673439216935,0.6761472423334395
47.034,0.7954677971646389,0.6761476275899431
47.035000000000004,0.7954682503622621,0.6761480128079228
47.036,0.7954687035145679,0.6761483979873827
47.037,0.7954691566215607,0.6761487831283266
47.038000000000004,0.7954696096832451,0.6761491682307583
47.039,0.7954700626996256,0.6761495532946817
47.04,0.7954705156707067,0.6761499383201007
47.041000000000004,0.7954709685964929,0.676150323307019
47.042,0.7954714214769889,0.6761507082554405
47.043,0.795471874312199,0.6761510931653691
47.044000000000004,0.795472327102128,0.6761514780368088
47.045,0.7954727798467801,0.676151862869763
47.046,0.7954732325461601,0.6761522476642361
47.047000000000004,0.7954736852002724,0.6761526324202315
47.048,0.7954741378091216,0.6761530171377533
47.049,0.7954745903727121,0.6761534018168053
47.050000000000004,0.7954750428910485,0.6761537864573912
47.051,0.7954754953641354,0.6761541710595151
47.052,0.7954759477919773,0.6761545556231807
47.053000000000004,0.7954764001745785,0.6761549401483917
47.054,0.7954768525119438,0.6761553246351522
47.055,0.7954773048040776,0.676155709083466
47.056000000000004,0.7954777570509846,0.6761560934933368
47.057,0.795478209252669,0.6761564778647686
47.058,0.7954786614091355,0.6761568621977652
47.059,0.7954791135203886,0.6761572464923302
47.06,0.795479565586433,0.676157630748468
47.061,0.7954800176072728,0.6761580149661819
47.062,0.795480469582913,0.676158399145476
47.063,0.7954809215133578,0.6761587832863541
47.064,0.7954813733986118,0.67615916738882
47.065,0.7954818252386796,0.6761595514528776
47.066,0.7954822770335656,0.6761599354785307
47.067,0.7954827287832743,0.6761603194657831
47.068,0.7954831804878104,0.6761607034146389
47.069,0.7954836321471783,0.6761610873251016
47.07,0.7954840837613825,0.6761614711971751
47.071,0.7954845353304275,0.6761618550308633
47.072,0.7954849868543179,0.6761622388261702
47.073,0.7954854383330582,0.6761626225830994
47.074,0.7954858897666528,0.6761630063016548
47.075,0.7954863411551063,0.6761633899818403
47.076,0.7954867924984232,0.6761637736236598
47.077,0.7954872437966082,0.676164157227117
47.078,0.7954876950496654,0.6761645407922156
47.079,0.7954881462575998,0.6761649243189598
47.08,0.7954885974204154,0.6761653078073531
47.081,0.7954890485381172,0.6761656912573996
47.082,0.7954894996107094,0.676166074669103
47.083,0.7954899506381965,0.676166458042467
47.084,0.7954904016205832,0.6761668413774956
47.085,0.7954908525578739,0.6761672246741928
47.086,0.7954913034500731,0.6761676079325621
47.087,0.7954917542971854,0.6761679911526076
47.088,0.7954922050992151,0.6761683743343329
47.089,0.795492655856167,0.676168757477742
47.09,0.7954931065680455,0.6761691405828386
47.091,0.7954935572348549,0.6761695236496267
47.092,0.7954940078566,0.6761699066781099
47.093,0.7954944584332851,0.6761702896682924
47.094,0.7954949089649148,0.6761706726201776
